facilityName,unitNumber,firstName,lastName,phone,email,rentStartDate,rentEndDate,monthlyRent,currentRentOwed,currentRentOwedDueDate
Dallas South,1019,Robin,Martinez,001-301-180-2440x42436,ronald89@hotmail.com,2023-02-06,2023-09-09,256.00,80.00,2023-09-20
Dallas North,1016,Amy,Ramirez,,,,,,,
Dallas South,1018,Tina,Dodson,,,,,,,
Dallas South,1001,Kevin,Booker,001-745-970-9382x10018,ifisher@hotmail.com,2023-02-11,2023-05-31,253.00,45.00,2023-06-05
Dallas North,1002,Alan,White,302-312-5997x1553,dhowell@flowers.com,2024-07-26,2024-12-12,215.00,21.00,2024-12-24
Dallas North,1017,Laura,Peck,(972)304-5511,sbush@yahoo.com,2024-02-10,2024-10-25,284.00,96.00,2024-11-04
Dallas South,1018,Ronald,Rivera,249-935-9368x33865,james77@yahoo.com,2024-09-23,2024-11-30,185.00,12.00,2024-12-15
Dallas South,1011,Dennis,White,094.152.9689x09581,petersnicholas@gray-cooper.com,2024-07-26,2025-01-17,206.00,90.00,2025-01-25
Dallas South,1008,Roy,Raymond,+1-547-852-0807x277,lparker@gmail.com,2024-05-09,2024-06-21,235.00,92.00,2024-07-03
Dallas South,1008,Jamie,Figueroa,608.819.0411x07271,mcook@wolfe-robinson.info,2023-09-27,2024-09-22,207.00,94.00,2024-10-02
Unknown Facility,9999,Sarah,Orozco,001-210-728-9432x25721,crystal80@yahoo.com,2023-01-01,2023-12-31,100.00,50.00,2023-02-01
Dallas South,1010,John,Marks,+1-117-371-3948,todddonna@bowen.com,2023-05-23,2023-08-27,269.00,22.00,2023-09-06
Dallas North,1002,Carla,Garcia,035.962.9436,cindy62@white.com,2024-10-29,2024-12-17,61.00,41.00,2024-12-23
Dallas South,1018,Hunter,Davis,+1-398-212-2859x294,webbsharon@hotmail.com,2023-11-17,2024-08-12,159.00,53.00,2024-08-22
Dallas South,1014,Sandra,Snyder,(025)326-5009,lori97@goodman.biz,2023-02-08,2023-11-11,113.00,15.00,2023-11-14
Dallas South,1001,Crystal,Tucker,553-025-8039x66111,caroline26@williams.com,2024-05-09,2024-09-07,227.00,10.00,2024-09-13
Dallas North,1010,Michelle,Caldwell,224.200.4110,isabelmcdonald@yahoo.com,2024-07-19,2025-01-21,195.00,83.00,2025-01-31
Dallas North,1007,Danielle,Glover,+1-106-532-1865x568,brownshannon@gmail.com,2024-04-11,2024-11-18,258.00,77.00,2024-11-20
Dallas South,1018,Stephen,Bowers,001-019-630-1644x5291,smithsarah@yahoo.com,2024-03-31,2024-11-27,129.00,74.00,2024-12-03
!!!Invalid Facility###,??unit,Max,Kim,123-abc-defg,not-an-email,202x-13-40,2023-99-99,abc,-50,no-date
Dallas North,1000,David,Coleman,001-435-190-2238x9273,klang@sosa.org,2024-02-09,2024-08-11,198.00,88.00,2024-08-13
